munnom;regadm
Grande-Vallée;Gaspésie--Îles-de-la-Madeleine (11)
Grand-Métis;Bas-Saint-Laurent (01)
Grand-Remous;Outaouais (07)
Grand-Saint-Esprit;Centre-du-Québec (17)
Grenville;Laurentides (15)
Grenville-sur-la-Rouge;Laurentides (15)
Gros-Mécatina;Côte-Nord (09)
Grosse-Île;Gaspésie--Îles-de-la-Madeleine (11)
Grosses-Roches;Bas-Saint-Laurent (01)
Guérin;Abitibi-Témiscamingue (08)
Ham-Nord;Centre-du-Québec (17)
Hampden;Estrie (05)
Hampstead;Montréal (06)
Ham-Sud;Estrie (05)
Harrington;Laurentides (15)
Hatley;Estrie (05)
Havelock;Montérégie (16)
Havre-Saint-Pierre;Côte-Nord (09)
Hébertville;Saguenay--Lac-Saint-Jean (02)
Hébertville-Station;Saguenay--Lac-Saint-Jean (02)
Hemmingford;Montérégie (16)
Henryville;Montérégie (16)
Hérouxville;Mauricie (04)
Hinchinbrooke;Montérégie (16)
Honfleur;Chaudière-Appalaches (12)
Hope;Gaspésie--Îles-de-la-Madeleine (11)
Hope Town;Gaspésie--Îles-de-la-Madeleine (11)
Howick;Montérégie (16)
Huberdeau;Laurentides (15)
Hudson;Montérégie (16)
Huntingdon;Montérégie (16)
Inukjuak;Nord-du-Québec (10)
Inverness;Centre-du-Québec (17)
Irlande;Chaudière-Appalaches (12)
Ivry-sur-le-Lac;Laurentides (15)
Ivujivik;Nord-du-Québec (10)
Joliette;Lanaudière (14)
Kahnawake;Montérégie (16)
Kamouraska;Bas-Saint-Laurent (01)
Kangiqsualujjuaq;Nord-du-Québec (10)
Kangiqsujuaq;Nord-du-Québec (10)
Kangirsuk;Nord-du-Québec (10)
Kataskomiq;Bas-Saint-Laurent (01)
Kawawachikamach;Nord-du-Québec (10)
Kawawachikamach;Côte-Nord (09)
Kazabazua;Outaouais (07)
Kebaowek;Abitibi-Témiscamingue (08)
Kiamika;Laurentides (15)
Kingsbury;Estrie (05)
Kingsey Falls;Centre-du-Québec (17)
Kinnear's Mills;Chaudière-Appalaches (12)
Kipawa;Abitibi-Témiscamingue (08)
Kirkland;Montréal (06)
Kitigan Zibi;Outaouais (07)
Kuujjuaq;Nord-du-Québec (10)
Kuujjuarapik;Nord-du-Québec (10)
La Bostonnais;Mauricie (04)
La Conception;Laurentides (15)
La Corne;Abitibi-Témiscamingue (08)
La Doré;Saguenay--Lac-Saint-Jean (02)
La Durantaye;Chaudière-Appalaches (12)
La Guadeloupe;Chaudière-Appalaches (12)
La Macaza;Laurentides (15)
La Malbaie;Capitale-Nationale (03)
La Martre;Gaspésie--Îles-de-la-Madeleine (11)
La Minerve;Laurentides (15)
La Morandière-Rochebaucourt;Abitibi-Témiscamingue (08)
La Motte;Abitibi-Témiscamingue (08)
La Patrie;Estrie (05)
La Pêche;Outaouais (07)
La Pocatière;Bas-Saint-Laurent (01)
La Prairie;Montérégie (16)
La Présentation;Montérégie (16)
La Rédemption;Bas-Saint-Laurent (01)
La Reine;Abitibi-Témiscamingue (08)
La Romaine;Côte-Nord (09)
La Sarre;Abitibi-Témiscamingue (08)
La Trinité-des-Monts;Bas-Saint-Laurent (01)
La Tuque;Mauricie (04)
La Visitation-de-l'Île-Dupas;Lanaudière (14)
La Visitation-de-Yamaska;Centre-du-Québec (17)
Labelle;Laurentides (15)
Labrecque;Saguenay--Lac-Saint-Jean (02)
Lac-Achouakan;Saguenay--Lac-Saint-Jean (02)
Lac-Akonapwehikan;Laurentides (15)
Lac-à-la-Croix;Bas-Saint-Laurent (01)
Lac-Alfred;Bas-Saint-Laurent (01)
Lac-Ashuapmushuan;Saguenay--Lac-Saint-Jean (02)
Lac-au-Brochet;Côte-Nord (09)
Lac-au-Saumon;Bas-Saint-Laurent (01)
Lac-aux-Sables;Mauricie (04)
Lac-Bazinet;Laurentides (15)
Lac-Beauport;Capitale-Nationale (03)
Lac-Blanc;Capitale-Nationale (03)
Lac-Boisbouscache;Bas-Saint-Laurent (01)
Lac-Bouchette;Saguenay--Lac-Saint-Jean (02)
Lac-Boulé;Mauricie (04)
Lac-Brome;Estrie (05)
Lac-Cabasta;Lanaudière (14)
Lac-Casault;Bas-Saint-Laurent (01)
Lac-Chicobi;Abitibi-Témiscamingue (08)
Lac-Croche;Capitale-Nationale (03)
Lac-De La Bidière;Laurentides (15)
Lac-Delage;Capitale-Nationale (03)
Lac-de-la-Maison-de-Pierre;Laurentides (15)
Lac-de-la-Pomme;Laurentides (15)
Lac-des-Aigles;Bas-Saint-Laurent (01)
Lac-des-Dix-Milles;Lanaudière (14)
Lac-des-Eaux-Mortes;Bas-Saint-Laurent (01)
Lac-des-Écorces;Laurentides (15)
Lac-Despinassy;Abitibi-Témiscamingue (08)
Lac-des-Plages;Outaouais (07)
Lac-des-Seize-Îles;Laurentides (15)
Lac-Devenyns;Lanaudière (14)
Lac-Douaire;Laurentides (15)
Lac-Drolet;Estrie (05)
Lac-du-Cerf;Laurentides (15)
Lac-Duparquet;Abitibi-Témiscamingue (08)
Lac-du-Taureau;Lanaudière (14)
Lac-Édouard;Mauricie (04)
Lac-Ernest;Laurentides (15)
Lac-Etchemin;Chaudière-Appalaches (12)
Lac-Frontière;Chaudière-Appalaches (12)
Lac-Granet;Abitibi-Témiscamingue (08)
Lac-Huron;Bas-Saint-Laurent (01)
Lachute;Laurentides (15)
Lac-Jacques-Cartier;Capitale-Nationale (03)
Lac-Jérôme;Côte-Nord (09)
Lac-John;Côte-Nord (09)
Lac-Juillet;Côte-Nord (09)
Lac-Lapeyrère;Capitale-Nationale (03)
Lac-Legendre;Lanaudière (14)
Lac-Lenôtre;Outaouais (07)
Lac-Marguerite;Laurentides (15)
Lac-Masketsi;Mauricie (04)
Lac-Matapédia;Bas-Saint-Laurent (01)
Lac-Matawin;Lanaudière (14)
Lac-Mégantic;Estrie (05)
Lac-Metei;Abitibi-Témiscamingue (08)
Lac-Minaki;Lanaudière (14)
Lac-Ministuk;Saguenay--Lac-Saint-Jean (02)
Lac-Moncouche;Saguenay--Lac-Saint-Jean (02)
Lac-Moselle;Outaouais (07)
Lac-Nilgaut;Outaouais (07)
Lac-Normand;Mauricie (04)
Lacolle;Montérégie (16)
Lac-Oscar;Laurentides (15)
Lac-Pikauba;Capitale-Nationale (03)
Lac-Poulin;Chaudière-Appalaches (12)
Lac-Pythonga;Outaouais (07)
Lac-Rapide;Outaouais (07)
Lac-Saguay;Laurentides (15)
Lac-Sainte-Marie;Outaouais (07)
Lac-Saint-Joseph;Capitale-Nationale (03)
Lac-Saint-Paul;Laurentides (15)
Lac-Santé;Lanaudière (14)
Lac-Sergent;Capitale-Nationale (03)
Lac-Simon;Outaouais (07)
Lac-Simon;Abitibi-Témiscamingue (08)
